menu_id,store_id,store_name,menu_name,category,tags,current_food_character,suggested_food_character,confidence,warning,review_status
M042,C012,김밥천국,순두부찌개,분식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""해장""]",,hot-soup,high,,needs-review
M043,C012,김밥천국,돈까스,분식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사""]",,main-dish,high,,needs-review
M044,C013,쌈마이 닭쌈밥,쌈마이 닭쌈밥 백반도시락,도시락,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""시험기간"",""데이트"",""포장"",""배달""]",,rice-meal,high,,needs-review
M045,C013,쌈마이 닭쌈밥,양념닭쌈밥 백반도시락,도시락,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""시험기간"",""데이트"",""포장"",""배달""]",,rice-meal,high,,needs-review
M046,C014,창대 비빔밥 뷔페,비빔밥,한식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사""]",,rice-meal,high,,needs-review
M047,C015,알촌,순한알밥,한식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""포장"",""배달"",""가볍게""]",,rice-meal,high,,needs-review
M048,C015,알촌,약매알밥,한식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""포장"",""배달"",""가볍게""]",,rice-meal,high,,needs-review
M049,C015,알촌,매콤알밥,한식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""포장"",""배달"",""가볍게""]",,rice-meal,high,,needs-review
M050,C016,롯데리아,모짜렐라 인 더 버거 베이컨 세트,햄버거,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",,quick-snack,high,,needs-review
M051,C016,롯데리아,불고기버거,햄버거,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",,quick-snack,medium,"복수 식사 형태 후보가 감지되었습니다: quick-snack, main-dish.",needs-review
M052,C016,롯데리아,핫크리스피치킨버거 세트,햄버거,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",,quick-snack,high,,needs-review
M053,C017,이삭토스트,햄스페셜 토스트,햄버거,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",,quick-snack,high,,needs-review
M054,C017,이삭토스트,햄치즈 토스트,햄버거,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",,quick-snack,high,,needs-review
M055,C017,이삭토스트,베이컨 포테이토 피자,햄버거,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",,main-dish,high,,needs-review
M056,C018,뼈따구,뼈해장국,찜/탕,"[""혼밥"",""단체"",""시험기간"",""포장"",""해장"",""비오는날"",""든든함""]",,hot-soup,high,,needs-review
M057,C018,뼈따구,콩나물해장국,찜/탕,"[""혼밥"",""단체"",""시험기간"",""포장"",""해장"",""비오는날"",""든든함""]",,hot-soup,high,,needs-review
M058,C019,밀밭이야기,촌국수,한식,"[""혼밥"",""단체"",""든든함"",""비오는날""]",,noodle-special,high,,needs-review
M059,C019,밀밭이야기,비빔국수,한식,"[""혼밥"",""단체"",""든든함"",""비오는날""]",,noodle-special,high,,needs-review
M060,C019,밀밭이야기,양푼비빔밥,한식,"[""혼밥"",""단체"",""든든함"",""비오는날""]",,rice-meal,high,,needs-review
M061,C019,밀밭이야기,해물전,한식,"[""혼밥"",""단체"",""든든함"",""비오는날""]",,main-dish,high,,needs-review
M062,C019,밀밭이야기,수제비,한식,"[""혼밥"",""단체"",""든든함"",""비오는날""]",,noodle-special,high,,needs-review
M063,C019,밀밭이야기,들깨칼국수,한식,"[""혼밥"",""단체"",""든든함"",""비오는날""]",,noodle-special,high,,needs-review
M064,C020,김밥일번지,일번지김밥,분식,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",,quick-snack,high,,needs-review
M065,C020,김밥일번지,콩나물비빔밥,분식,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",,rice-meal,high,,needs-review
M066,C020,김밥일번지,일번지라면,분식,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",,noodle-special,high,,needs-review
M067,C020,김밥일번지,엄마떡볶이,분식,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",,quick-snack,high,,needs-review
M068,C021,팔팔마라탕,88마라탕,찜/탕,"[""혼밥"",""든든함"",""포장"",""배달"",""스트레스""]",,hot-soup,high,,needs-review
M069,C022,차곡히,순두부 제육볶음세트,한식,"[""혼밥"",""든든함"",""단체"",""데이트"",""시험기간""]",,hot-soup,medium,"복수 식사 형태 후보가 감지되었습니다: hot-soup, main-dish.",needs-review
M070,C022,차곡히,된장찌개 제육볶음 세트,한식,"[""혼밥"",""든든함"",""단체"",""데이트"",""시험기간""]",,hot-soup,medium,"복수 식사 형태 후보가 감지되었습니다: hot-soup, main-dish.",needs-review
M071,C023,레빗테이블,수제등심 돈가스,양식,"[""든든함"",""데이트"",""스트레스""]",,main-dish,high,,needs-review
M072,C023,레빗테이블,레빗크림 파스타,양식,"[""든든함"",""데이트"",""스트레스""]",,noodle-special,high,,needs-review
M073,C023,레빗테이블,레빗로제 파스타,양식,"[""든든함"",""데이트"",""스트레스""]",,noodle-special,high,,needs-review
M074,C023,레빗테이블,베이컨 크림 리조또,양식,"[""든든함"",""데이트"",""스트레스""]",,rice-meal,high,,needs-review
M075,C023,레빗테이블,고르곤졸라피자,양식,"[""든든함"",""데이트"",""스트레스""]",,main-dish,high,,needs-review
M076,C024,고가밀면,물밀면,분식,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",,noodle-special,high,,needs-review
M077,C024,고가밀면,비빔면,분식,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",,noodle-special,high,,needs-review
M078,C024,고가밀면,고가손만두,분식,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",,quick-snack,high,,needs-review
M079,C025,가야밀면,물밀면,분식,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",,noodle-special,high,,needs-review
M080,C025,가야밀면,비빔밀면,분식,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",,noodle-special,high,,needs-review
M081,C025,가야밀면,돈까스,분식,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",,main-dish,high,,needs-review
M082,C026,유가네닭갈비,유가네닭갈비,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",,main-dish,high,,needs-review
M083,C026,유가네닭갈비,콘치즈닭갈비,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",,main-dish,high,,needs-review
M084,C026,유가네닭갈비,닭갈비철판볶음밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",,rice-meal,medium,"복수 식사 형태 후보가 감지되었습니다: rice-meal, main-dish.",needs-review
M085,C026,유가네닭갈비,닭야채철판볶음밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",,rice-meal,high,,needs-review
M086,C026,유가네닭갈비,미소허니닭갈비,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",,main-dish,high,,needs-review
M087,C026,유가네닭갈비,치즈철판볶음밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",,rice-meal,high,,needs-review
M088,C027,호호돼지국밥,짜글이,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",,hot-soup,high,,needs-review
M089,C027,호호돼지국밥,돼지국밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",,hot-soup,high,,needs-review
M090,C027,호호돼지국밥,순대국밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",,hot-soup,high,,needs-review
M091,C027,호호돼지국밥,내장국밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",,hot-soup,high,,needs-review
M092,C027,호호돼지국밥,섞어국밥,한식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",,hot-soup,high,,needs-review
M093,C028,장독짜장,짜장면,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,noodle-special,high,,needs-review
M094,C028,장독짜장,짬뽕,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,noodle-special,high,,needs-review
M095,C028,장독짜장,볶음밥,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,rice-meal,high,,needs-review
M096,C028,장독짜장,간짜장,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,noodle-special,high,,needs-review
M097,C028,장독짜장,볶음짬뽕,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,noodle-special,high,,needs-review
M098,C028,장독짜장,미니탕수육,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,main-dish,high,이름의 '탕' 오분류 방지 확인: 미니탕수육은 main-dish 후보입니다.,needs-review
M099,C028,장독짜장,쟁반짜장,중식,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",,noodle-special,high,,needs-review
M100,C029,돌솥밥수,돌솥밥 정식,한식,"[""혼밥"",""단체"",""든든함"",""데이트"",""시험기간""]",,rice-meal,high,,needs-review
