id,restaurant_id,restaurant_name,name,category,price,spicy,salty,sweet,portion,value,speed,signature,available,tags,source,last_checked,recommend_note
M035,C009,맘스터치,아라비아따치즈버거 세트,햄버거,11500,2,3,4,5,2,3,true,true,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,
M036,C009,맘스터치,화이트갈릭싸이버거 세트,햄버거,9600,1,3,4,5,2,3,true,true,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,
M037,C010,따뜻한밥상,김치찌개,한식,5000,2,3,3,3,5,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""든든함"",""가성비"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M038,C011,소소소국수집,잔치국수,분식,6000,0,3,3,1,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M039,C011,소소소국수집,비빔국수,분식,7000,2,3,4,1,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M040,C011,소소소국수집,열무국수,분식,7000,2,3,4,1,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M041,C012,김밥천국,참치마요김밥,분식,3500,0,2,3,2,4,5,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""가성비"",""포장""]",메뉴판 사진,2026-06-17T00:00:00,
M042,C012,김밥천국,순두부찌개,분식,5500,3,3,2,1,3,4,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""해장""]",메뉴판 사진,2026-06-17T00:00:00,
M043,C012,김밥천국,돈까스,분식,6000,0,3,3,4,3,3,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M044,C013,쌈마이 닭쌈밥,쌈마이 닭쌈밥 백반도시락,도시락,8900,0,3,0,5,4,3,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""시험기간"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M045,C013,쌈마이 닭쌈밥,양념닭쌈밥 백반도시락,도시락,9500,2,3,3,5,4,3,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""시험기간"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M046,C014,창대 비빔밥 뷔페,비빔밥,한식,8000,2,3,3,2,3,5,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M047,C015,알촌,순한알밥,한식,5300,0,3,3,2,4,3,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""포장"",""배달"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M048,C015,알촌,약매알밥,한식,5500,2,3,3,2,4,3,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""포장"",""배달"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M049,C015,알촌,매콤알밥,한식,5600,4,3,3,2,4,3,true,true,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""포장"",""배달"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M050,C016,롯데리아,모짜렐라 인 더 버거 베이컨 세트,햄버거,11700,0,3,3,3,2,3,true,true,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M051,C016,롯데리아,불고기버거,햄버거,8900,0,3,3,3,2,3,true,true,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M052,C016,롯데리아,핫크리스피치킨버거 세트,햄버거,10000,2,3,2,3,2,3,true,true,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M053,C017,이삭토스트,햄스페셜 토스트,햄버거,5100,0,3,3,2,3,4,true,true,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M054,C017,이삭토스트,햄치즈 토스트,햄버거,4500,0,3,3,3,3,4,true,true,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M055,C017,이삭토스트,베이컨 포테이토 피자,햄버거,6500,0,3,3,3,3,4,true,true,"[""혼밥"",""시험기간"",""단체"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M056,C018,뼈따구,뼈해장국,찜/탕,10000,1,3,2,4,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""포장"",""해장"",""비오는날"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,
M057,C018,뼈따구,콩나물해장국,찜/탕,10000,1,3,2,2,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""포장"",""해장"",""비오는날"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,
M058,C019,밀밭이야기,촌국수,한식,6000,1,3,1,1,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M059,C019,밀밭이야기,비빔국수,한식,7000,2,3,3,1,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M060,C019,밀밭이야기,양푼비빔밥,한식,8000,2,3,2,1,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M061,C019,밀밭이야기,해물전,한식,7000,1,2,0,1,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M062,C019,밀밭이야기,수제비,한식,7000,0,3,1,1,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M063,C019,밀밭이야기,들깨칼국수,한식,9000,0,3,2,1,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,
M064,C020,김밥일번지,일번지김밥,분식,4000,0,2,2,2,4,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M065,C020,김밥일번지,콩나물비빔밥,분식,7000,1,2,2,2,4,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M066,C020,김밥일번지,일번지라면,분식,4500,2,3,1,2,4,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M067,C020,김밥일번지,엄마떡볶이,분식,7000,3,3,3,2,4,3,true,true,"[""혼밥"",""단체"",""든든함"",""비오는날"",""포장"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M068,C021,팔팔마라탕,88마라탕,찜/탕,9800,5,3,1,3,3,3,true,true,"[""혼밥"",""든든함"",""포장"",""배달"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,
M069,C022,차곡히,순두부 제육볶음세트,한식,12000,3,3,2,3,2,2,true,true,"[""혼밥"",""든든함"",""단체"",""데이트"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M070,C022,차곡히,된장찌개 제육볶음 세트,한식,12000,3,3,2,3,2,2,true,true,"[""혼밥"",""든든함"",""단체"",""데이트"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M071,C023,레빗테이블,수제등심 돈가스,양식,10000,0,2,1,5,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,
M072,C023,레빗테이블,레빗크림 파스타,양식,9500,1,3,3,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,
M073,C023,레빗테이블,레빗로제 파스타,양식,11000,2,3,3,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,
M074,C023,레빗테이블,베이컨 크림 리조또,양식,11000,2,3,3,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,
M075,C023,레빗테이블,고르곤졸라피자,양식,12000,0,2,4,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,
M076,C024,고가밀면,물밀면,분식,8000,0,2,1,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M077,C024,고가밀면,비빔면,분식,8000,2,3,2,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M078,C024,고가밀면,고가손만두,분식,8000,0,2,2,3,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M079,C025,가야밀면,물밀면,분식,8000,0,2,2,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M080,C025,가야밀면,비빔밀면,분식,8000,2,3,2,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M081,C025,가야밀면,돈까스,분식,8000,0,2,1,5,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,
M082,C026,유가네 닭갈비,유가네닭갈비,한식,10500,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M083,C026,유가네 닭갈비,콘치즈닭갈비,한식,12000,2,3,3,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M084,C026,유가네 닭갈비,닭갈비철판볶음밥,한식,8000,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M085,C026,유가네 닭갈비,닭야채철판볶음밥,한식,8000,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M086,C026,유가네 닭갈비,미소허니닭갈비,한식,11500,2,3,3,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M087,C026,유가네 닭갈비,치즈철판볶음밥,한식,8500,2,3,2,4,3,2,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""데이트"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M088,C027,호호돼지국밥,짜글이,한식,7000,1,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M089,C027,호호돼지국밥,돼지국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M090,C027,호호돼지국밥,순대국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M091,C027,호호돼지국밥,내장국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M092,C027,호호돼지국밥,섞어국밥,한식,7000,0,3,0,4,5,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M093,C028,장독짜장,짜장면,중식,5000,0,4,3,1,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M094,C028,장독짜장,짬뽕,중식,8000,4,3,2,2,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M095,C028,장독짜장,볶음밥,중식,8000,0,3,3,1,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M096,C028,장독짜장,간짜장,중식,8000,0,4,3,1,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M097,C028,장독짜장,볶음짬뽕,중식,8000,3,3,2,2,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M098,C028,장독짜장,미니탕수육,중식,10000,0,2,1,5,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M099,C028,장독짜장,쟁반짜장,중식,9000,2,4,3,2,4,4,true,true,"[""혼밥"",""단체"",""가볍게"",""든든함"",""가성비"",""시험기간"",""빠른식사"",""데이트"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M100,C029,돌솥밥수,돌솥밥 정식,한식,10000,2,3,2,3,3,3,true,true,"[""혼밥"",""단체"",""든든함"",""데이트"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
